,president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
63,Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,12/10/2025,12/18/2025,3000.0, RV,0.9924404,0.5735287,,50.0,49.0,1.0,46.39079,51.68538,-5.29459,https://napolitannews.org/jobapproval,12/18/2025,16:00:44 28 Dec 2025
71,Donald Trump (2nd term),Voters,Marist College,NPR | PBS NewsHour,12/8/2025,12/11/2025,1261.0, RV,1.430087,0.5315554,,40.0,55.0,-15.0,41.11494,54.3175,-13.20256,https://maristpoll.marist.edu/polls/2026-economic-outlook-december-2025/,12/11/2025,16:00:44 28 Dec 2025
78,Donald Trump (2nd term),Voters,YouGov,Economist,12/12/2025,12/15/2025,1453.0, RV,0.814446,0.4636183,,43.0,55.0,-12.0,43.5367,54.0141,-10.4774,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FJyfDu9.pdf,12/15/2025,16:00:44 28 Dec 2025
89,Donald Trump (2nd term),Voters,The Argument/Verasight,,12/5/2025,12/11/2025,1521.0, RV,1.209669,0.3790036,,43.0,55.0,-12.0,43.55453,54.04809,-10.49356,https://www.theargumentmag.com/p/have-democrats-lost-their-education,12/11/2025,16:00:44 28 Dec 2025
94,Donald Trump (2nd term),Voters,Morning Consult,,12/12/2025,12/15/2025,2201.0, RV,0.6545036,0.3710244,,46.0,52.0,-6.0,45.13614,52.38465,-7.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,12/15/2025,16:00:44 28 Dec 2025
103,Donald Trump (2nd term),Voters,Tavern Research,Rainey Center,12/13/2025,12/13/2025,1247.0, LV,0.6636499,0.3576925,,43.0,54.0,-11.0,42.96657,53.92021,-10.95364,https://www.raineycenter.org/polling/consumer-spending-trends-and-protecting-youth-online,12/13/2025,16:00:44 28 Dec 2025
110,Donald Trump (2nd term),Voters,Clarity Campaign Labs,,12/4/2025,12/11/2025,1000.0, RV,1.090294,0.3494748,,44.0,55.0,-11.0,43.41392,55.74017,-12.32625,https://www.claritycampaigns.com/clarity-omnibus-dec-2025,12/11/2025,16:00:44 28 Dec 2025
134,Donald Trump (2nd term),Voters,Tavern Research,Searchlight Institute,12/9/2025,12/10/2025,1567.0, LV,0.7230265,0.2652162,,45.0,53.0,-8.0,44.96657,52.92021,-7.95364,https://www.searchlightinstitute.org/research/voters-want-a-fairer-deal-for-workers/,12/10/2025,16:00:44 28 Dec 2025
139,Donald Trump (2nd term),Voters,John Zogby Strategies,,12/5/2025,12/7/2025,1000.0, LV,0.9842166,0.2630625,,45.9,51.6,-5.699997,45.46669,51.93694,-6.470249,https://johnzogbystrategies.com/outlook-2026-is-the-president-bleeding-independents/,12/7/2025,16:00:44 28 Dec 2025
150,Donald Trump (2nd term),Voters,Harris Insights & Analytics,,12/2/2025,12/4/2025,2204.0, RV,1.332994,0.2457855,,47.0,49.0,-2.0,45.81655,50.88015,-5.063599,https://harvardharrispoll.com/wp-content/uploads/2025/12/HHP_Dec2025_Topline.pdf,12/4/2025,16:00:44 28 Dec 2025
156,Donald Trump (2nd term),Voters,Global Strategy Group/GBAO (Navigator Research),,12/4/2025,12/8/2025,1000.0, RV,0.8835883,0.2328566,,42.0,56.0,-14.0,42.85938,54.82328,-11.9639,https://navigatorresearch.org/wp-content/uploads/2025/12/Navigator-Topline-F12.08.25.pdf,12/8/2025,16:00:44 28 Dec 2025
163,Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,12/3/2025,12/11/2025,3000.0, RV,0.9060673,0.228442,,47.0,51.0,-4.0,43.39079,53.68538,-10.29459,https://napolitannews.org/jobapproval,12/11/2025,16:00:44 28 Dec 2025
166,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/12/2025,12/18/2025,1500.0, LV,0.3320747,0.210714,True,45.0,53.0,-8.0,42.22063,54.60864,-12.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/18/2025,16:00:44 28 Dec 2025
168,Donald Trump (2nd term),Voters,J.L. Partners,Daily Mail,12/3/2025,12/5/2025,1000.0, RV,0.9916525,0.1974957,,43.0,49.0,-6.0,43.49061,52.42702,-8.936413,https://jlpartners.com/nationwide-registered-voters-december-2025,12/5/2025,16:00:44 28 Dec 2025
172,Donald Trump (2nd term),Voters,YouGov,Economist,12/5/2025,12/8/2025,1380.0, RV,0.742905,0.1765509,,43.0,54.0,-11.0,43.5367,53.0141,-9.477398,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_qLhWxpK.pdf,12/8/2025,16:00:44 28 Dec 2025
180,Donald Trump (2nd term),Voters,Morning Consult,,12/5/2025,12/7/2025,2201.0, RV,0.6312239,0.1290022,,45.0,52.0,-7.0,44.13614,52.38465,-8.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,12/7/2025,16:00:44 28 Dec 2025
183,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/15/2025,12/19/2025,1500.0, LV,0.1602604,0.1213161,True,45.0,53.0,-8.0,42.22063,54.60864,-12.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/19/2025,16:00:44 28 Dec 2025
192,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/16/2025,12/22/2025,1500.0, LV,0.1189195,0.1044951,True,44.0,54.0,-10.0,41.22063,55.60864,-14.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/22/2025,16:00:44 28 Dec 2025
196,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/5/2025,12/11/2025,1500.0, LV,0.3306021,0.0874359,True,47.0,51.0,-4.0,44.22063,52.60864,-8.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/11/2025,16:00:44 28 Dec 2025
200,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/11/2025,12/17/2025,1500.0, LV,0.1102123,0.0630283,True,46.0,53.0,-7.0,43.22063,54.60864,-11.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/17/2025,16:00:44 28 Dec 2025
202,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/10/2025,12/16/2025,1500.0, LV,0.1099603,0.0559341,True,46.0,53.0,-7.0,43.22063,54.60864,-11.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/16/2025,16:00:44 28 Dec 2025
203,Donald Trump (2nd term),Voters,YouGov,Economist,11/28/2025,12/1/2025,1456.0, RV,0.7063484,0.0554426,,42.0,56.0,-14.0,42.5367,55.0141,-12.4774,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_szm0BQt.pdf,12/1/2025,16:00:44 28 Dec 2025
205,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/9/2025,12/15/2025,1500.0, LV,0.1101423,0.0489279,True,47.0,51.0,-4.0,44.22063,52.60864,-8.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/15/2025,16:00:44 28 Dec 2025
207,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/8/2025,12/12/2025,1500.0, LV,0.1550774,0.048593,True,46.0,52.0,-6.0,43.22063,53.60864,-10.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/12/2025,16:00:44 28 Dec 2025
211,Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,11/19/2025,12/4/2025,3000.0, RV,0.9296086,0.0479049,,45.0,53.0,-8.0,41.39079,55.68538,-14.29459,https://napolitannews.org/jobapproval,12/4/2025,16:00:44 28 Dec 2025
217,Donald Trump (2nd term),Voters,GBAO,Third Way,11/19/2025,11/26/2025,2000.0, RV,1.210367,0.0390441,,43.0,56.0,-13.0,42.82121,55.54594,-12.72473,https://uploads.thirdway.org/downloads/food-medicine-fuel-for-a-wave/Third-WayGBAO-National-Framing-Survey-Toplines-November-2025.pdf,11/26/2025,16:00:44 28 Dec 2025
224,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/26/2025,12/4/2025,1500.0, LV,0.4370273,0.0334684,True,43.0,55.0,-12.0,40.22063,56.60864,-16.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/4/2025,16:00:44 28 Dec 2025
228,Donald Trump (2nd term),Voters,Morning Consult,,11/26/2025,11/30/2025,2200.0, RV,0.5844998,0.0331462,,45.0,52.0,-7.0,44.13614,52.38465,-8.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,11/30/2025,16:00:44 28 Dec 2025
234,Donald Trump (2nd term),Voters,The Bullfinch Group,,11/21/2025,11/25/2025,1000.0, RV,0.91647,0.0295635,,40.0,54.0,-14.0,40.58123,53.81945,-13.23822,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q4-nationwide-survey-3,11/25/2025,16:00:44 28 Dec 2025
235,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/4/2025,12/10/2025,1500.0, LV,0.1103879,0.026521,True,47.0,51.0,-4.0,44.22063,52.60864,-8.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/10/2025,16:00:44 28 Dec 2025
238,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/3/2025,12/9/2025,1500.0, LV,0.1106946,0.0239461,True,46.0,51.0,-5.0,43.22063,52.60864,-9.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/9/2025,16:00:44 28 Dec 2025
239,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/1/2025,12/5/2025,1500.0, LV,0.1572917,0.0228301,True,43.0,55.0,-12.0,40.22063,56.60864,-16.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/5/2025,16:00:44 28 Dec 2025
244,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/2/2025,12/8/2025,1500.0, LV,0.1111921,0.0213935,True,44.0,54.0,-10.0,41.22063,55.60864,-14.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/8/2025,16:00:44 28 Dec 2025
248,Donald Trump (2nd term),Voters,YouGov,Economist,11/21/2025,11/24/2025,1511.0, RV,0.6520569,0.0160068,,43.0,56.0,-13.0,43.5367,55.0141,-11.4774,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uZaQqtv.pdf,11/24/2025,16:00:44 28 Dec 2025
254,Donald Trump (2nd term),Voters,InsiderAdvantage,,11/20/2025,11/21/2025,800.0, LV,1.086069,0.0115252,,44.0,49.0,-5.0,40.86094,52.46825,-11.60731,https://insideradvantage.com/insideradvantage-national-survey-trump-approval-recovering-approve-44-disapprove-49/,11/21/2025,16:00:44 28 Dec 2025
257,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/21/2025,12/1/2025,1500.0, LV,0.2213915,0.0098449,True,45.0,54.0,-9.0,42.22063,55.60864,-13.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/1/2025,16:00:44 28 Dec 2025
258,Donald Trump (2nd term),Voters,YouGov,Yahoo News,11/20/2025,11/24/2025,1132.0, RV,0.5796051,0.0094709,,44.0,54.0,-10.0,44.5367,53.0141,-8.477398,https://www.scribd.com/document/955164028/Yahoo-YouGov-Epstein-Poll-November-2025,11/24/2025,16:00:44 28 Dec 2025
266,Donald Trump (2nd term),Voters,Morning Consult,,11/21/2025,11/23/2025,2200.0, RV,0.5567594,0.0079073,,45.0,52.0,-7.0,44.13614,52.38465,-8.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,11/23/2025,16:00:44 28 Dec 2025
269,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/25/2025,12/3/2025,1500.0, LV,0.0885535,0.0060216,True,43.0,55.0,-12.0,40.22063,56.60864,-16.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/3/2025,16:00:44 28 Dec 2025
273,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/24/2025,12/2/2025,1500.0, LV,0.0894998,0.0053509,True,44.0,55.0,-11.0,41.22063,56.60864,-15.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/2/2025,16:00:44 28 Dec 2025
275,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/20/2025,11/26/2025,1500.0, LV,0.1159053,0.0025782,True,46.0,53.0,-7.0,43.22063,54.60864,-11.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,11/26/2025,16:00:44 28 Dec 2025
276,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/19/2025,11/25/2025,1500.0, LV,0.1155186,0.00172,True,47.0,51.0,-4.0,44.22063,52.60864,-8.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,11/25/2025,16:00:44 28 Dec 2025
279,Donald Trump (2nd term),Voters,Rasmussen Reports,,11/18/2025,11/24/2025,1500.0, LV,0.1152833,0.000861,True,46.0,51.0,-5.0,43.22063,52.60864,-9.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,11/24/2025,16:00:44 28 Dec 2025
296,Donald Trump (2nd term),Voters,Beacon Research/Shaw & Co. Research,FOX News,9/6/2025,9/9/2025,1004.0, RV,1.419391,0.0,,46.0,54.0,-8.0,45.80295,52.90228,-7.099327,https://static.foxnews.com/foxnews.com/content/uploads/2025/09/fox_september-6-9-2025_national_topline_september-11-release.pdf,9/9/2025,16:00:44 28 Dec 2025
299,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/3/2025,9/9/2025,1500.0, LV,0.1085272,0.0,True,48.0,51.0,-3.0,45.22063,52.60864,-7.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/9/2025,16:00:44 28 Dec 2025
313,Donald Trump (2nd term),Voters,Morning Consult,,9/6/2025,9/8/2025,2201.0, RV,0.5942183,0.0,,45.0,52.0,-7.0,44.13614,52.38465,-8.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,9/8/2025,16:00:44 28 Dec 2025
314,Donald Trump (2nd term),Voters,YouGov,Economist,9/5/2025,9/8/2025,1487.0, RV,0.7749611,0.0,,43.0,54.0,-11.0,43.5367,53.0141,-9.477398,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_posPy08.pdf,9/8/2025,16:00:44 28 Dec 2025
326,Donald Trump (2nd term),Voters,Global Strategy Group/GBAO (Navigator Research),,9/4/2025,9/8/2025,1000.0, RV,0.8714205,0.0,,43.0,53.0,-10.0,43.85938,51.82328,-7.963902,https://navigatorresearch.org/wp-content/uploads/2025/09/Navigator-Update-Topline-F09.08.25.pdf,9/8/2025,16:00:44 28 Dec 2025
329,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/1/2025,9/8/2025,1500.0, LV,0.191488,0.0,True,48.0,50.0,-2.0,45.22063,51.60864,-6.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/8/2025,16:00:44 28 Dec 2025
335,Donald Trump (2nd term),Voters,Rasmussen Reports,,8/29/2025,9/5/2025,1500.0, LV,0.2898083,0.0,True,49.0,50.0,-1.0,46.22063,51.60864,-5.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/5/2025,16:00:44 28 Dec 2025
341,Donald Trump (2nd term),Voters,Rasmussen Reports,,8/28/2025,9/4/2025,1500.0, LV,0.0971516,0.0,True,48.0,51.0,-3.0,45.22063,52.60864,-7.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/4/2025,16:00:44 28 Dec 2025
343,Donald Trump (2nd term),Voters,InsiderAdvantage,,9/29/2025,9/30/2025,800.0, LV,1.09318,0.0,,52.0,46.0,6.0,48.86094,49.46825,-0.6073112,https://www.realclearpolitics.com/docs/2025/IA_Final_Sept_PDF.pdf,9/30/2025,16:00:44 28 Dec 2025
344,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/24/2025,9/30/2025,1500.0, LV,0.1067707,0.0,True,49.0,48.0,1.0,46.22063,49.60864,-3.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/30/2025,16:00:44 28 Dec 2025
348,Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,8/27/2025,9/3/2025,3000.0, RV,0.722335,0.0,,50.0,48.0,2.0,46.39079,50.68538,-4.29459,https://napolitannews.org/jobapproval,9/3/2025,16:00:44 28 Dec 2025
352,Donald Trump (2nd term),Voters,Rasmussen Reports,,8/27/2025,9/3/2025,1500.0, LV,0.0976683,0.0,True,48.0,51.0,-3.0,45.22063,52.60864,-7.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/3/2025,16:00:44 28 Dec 2025
359,Donald Trump (2nd term),Voters,YouGov,Yahoo News,9/25/2025,9/29/2025,1084.0, V,0.5707996,0.0,,44.0,55.0,-11.0,44.5367,54.0141,-9.477398,https://www.scribd.com/document/925455404/Combined-Kimmel,9/29/2025,16:00:44 28 Dec 2025
362,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/23/2025,9/29/2025,1500.0, LV,0.1073373,0.0,True,49.0,49.0,0.0,46.22063,50.60864,-4.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/29/2025,16:00:44 28 Dec 2025
366,Donald Trump (2nd term),Voters,YouGov,Economist,9/26/2025,9/29/2025,1518.0, RV,0.6528094,0.0,,43.0,54.0,-11.0,43.5367,53.0141,-9.477398,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5xxkX0x.pdf,9/29/2025,16:00:44 28 Dec 2025
376,Donald Trump (2nd term),Voters,Morning Consult,,9/26/2025,9/28/2025,2202.0, RV,0.5943546,0.0,,46.0,52.0,-6.0,45.13614,52.38465,-7.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,9/28/2025,16:00:44 28 Dec 2025
384,Donald Trump (2nd term),Voters,The New York Times/Siena College,,9/22/2025,9/27/2025,1313.0, RV,1.605182,0.0,,43.0,54.0,-11.0,43.72455,53.40198,-9.677433,https://www.nytimes.com/interactive/2025/09/30/polls/times-siena-poll-registered-voter-crosstabs.html,9/27/2025,16:00:44 28 Dec 2025
395,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/22/2025,9/26/2025,1500.0, LV,0.1500049,0.0,True,50.0,48.0,2.0,47.22063,49.60864,-2.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/26/2025,16:00:44 28 Dec 2025
396,Donald Trump (2nd term),Voters,Marist College,NPR | PBS News,9/22/2025,9/26/2025,1329.0, RV,1.464229,0.0,,42.0,53.0,-11.0,43.11494,52.3175,-9.20256,https://maristpoll.marist.edu/wp-content/uploads/2025/09/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_Shutdown_202509291238.pdf,9/26/2025,16:00:44 28 Dec 2025
398,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/19/2025,9/25/2025,1500.0, LV,0.3181845,0.0,True,49.0,50.0,-1.0,46.22063,51.60864,-5.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/25/2025,16:00:44 28 Dec 2025
402,Donald Trump (2nd term),Voters,Marquette University Law School,,9/15/2025,9/24/2025,777.0, RV,1.389966,0.0,,45.0,55.0,-10.0,44.61961,53.86422,-9.24461,https://law.marquette.edu/poll/2025/10/01/detailed-results-of-the-marquette-law-school-supreme-court-poll-sept-15-24-2025-national-issues/,9/24/2025,16:00:44 28 Dec 2025
404,Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,9/16/2025,9/24/2025,3000.0, RV,0.7232978,0.0,,50.0,49.0,1.0,46.39079,51.68538,-5.29459,https://napolitannews.org/jobapproval,9/24/2025,16:00:44 28 Dec 2025
409,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/18/2025,9/24/2025,1500.0, LV,0.1063764,0.0,True,49.0,49.0,0.0,46.22063,50.60864,-4.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/24/2025,16:00:44 28 Dec 2025
417,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/17/2025,9/23/2025,1500.0, LV,0.1068242,0.0,True,48.0,50.0,-2.0,45.22063,51.60864,-6.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/23/2025,16:00:44 28 Dec 2025
423,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/16/2025,9/22/2025,1500.0, LV,0.1074512,0.0,True,50.0,48.0,2.0,47.22063,49.60864,-2.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/22/2025,16:00:44 28 Dec 2025
428,Donald Trump (2nd term),Voters,Echelon Insights,,9/18/2025,9/22/2025,1071.0, LV,1.271602,0.0,,45.0,53.0,-8.0,44.44462,52.81236,-8.367741,https://echelonin.wpenginepowered.com/wp-content/uploads/September-2025-Voter-Omnibus-Topline-External-1.pdf,9/22/2025,16:00:44 28 Dec 2025
436,Donald Trump (2nd term),Voters,YouGov,Economist,9/19/2025,9/22/2025,1392.0, RV,0.6761128,0.0,,43.0,55.0,-12.0,43.5367,54.0141,-10.4774,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_XUKbKYQ.pdf,9/22/2025,16:00:44 28 Dec 2025
445,Donald Trump (2nd term),Voters,Morning Consult,,9/19/2025,9/21/2025,2201.0, RV,0.5942224,0.0,,46.0,52.0,-6.0,45.13614,52.38465,-7.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,9/21/2025,16:00:44 28 Dec 2025
446,Donald Trump (2nd term),Voters,Quinnipiac University,,9/18/2025,9/21/2025,1276.0, RV,1.357888,0.0,,38.0,54.0,-16.0,40.83876,53.03015,-12.19139,https://poll.qu.edu/poll-release?releaseid=3932,9/21/2025,16:00:44 28 Dec 2025
460,Donald Trump (2nd term),Voters,American Research Group,,9/17/2025,9/20/2025,1002.0, RV,0.8886471,0.0,,37.0,58.0,-21.0,40.25326,54.97867,-14.72541,https://americanresearchgroup.com/economy/,9/20/2025,16:00:44 28 Dec 2025
466,Donald Trump (2nd term),Voters,YouGov,Yahoo News,8/29/2025,9/2/2025,1103.0, V,0.7045802,0.0,,43.0,56.0,-13.0,43.5367,55.0141,-11.4774,https://www.scribd.com/document/910985644/Yahoo-YouGov-Crime-Poll-August-2025,9/2/2025,16:00:44 28 Dec 2025
479,Donald Trump (2nd term),Voters,J.L. Partners,Daily Mail,8/29/2025,9/2/2025,867.0, RV,1.061712,0.0,,49.0,41.0,8.0,49.49061,44.42702,5.063587,https://jlpartners.com/trump-tracker-augustseptember-2025,9/2/2025,16:00:44 28 Dec 2025
491,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/15/2025,9/19/2025,1500.0, LV,0.1504301,0.0,True,50.0,48.0,2.0,47.22063,49.60864,-2.388008,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/19/2025,16:00:44 28 Dec 2025
493,Donald Trump (2nd term),Voters,The Argument/Verasight,,9/15/2025,9/18/2025,1541.0, RV,1.222483,0.0,,42.0,56.0,-14.0,42.55453,55.04809,-12.49356,https://www.theargumentmag.com/p/chatgpt-and-the-end-of-learning,9/18/2025,16:00:44 28 Dec 2025
496,Donald Trump (2nd term),Voters,Rasmussen Reports,,9/12/2025,9/18/2025,1500.0, LV,0.3192275,0.0,True,53.0,46.0,7.0,50.22063,47.60864,2.611992,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,9/18/2025,16:00:44 28 Dec 2025
