,Date,economy_avg,foreign_policy_avg,immigration_avg,inflation_avg,economy_std,foreign_policy_std,immigration_std,inflation_std,trade_tariffs_avg,trade_tariffs_std,healthcare_avg,healthcare_std,crime_avg,crime_std,economy_upper_CI,economy_lower_CI,foreign_policy_upper_CI,foreign_policy_lower_CI,immigration_upper_CI,immigration_lower_CI,inflation_upper_CI,inflation_lower_CI,trade_tariffs_upper_CI,trade_tariffs_lower_CI,healthcare_upper_CI,healthcare_lower_CI,crime_upper_CI,crime_lower_CI
94,2025-05-04,-12.904977790198215,-10.34713173478752,-1.5190285422113698,-21.244591170179937,4.6266007935524796,4.1443274369829535,4.832325467007867,5.283588833379136,-19.183933614769742,6.159660884646734,-13.649551027729776,5.773051557441275,3.3025508928451526,3.4470367935737474,-8.278376996645736,-17.531578583750694,-6.202804297804567,-14.491459171770474,3.3132969247964974,-6.351354009219237,-15.961002336800801,-26.528180003559072,-13.024272730123009,-25.343594499416476,-7.876499470288501,-19.422602585171052,6.7495876864189,-0.1444859007285948
95,2025-05-05,-12.937397052327249,-10.347034415386844,-1.5288584315715072,-21.20241328846988,4.7086589658802565,4.1448583584741,4.7143625656651285,5.085705726908414,-19.050270641278548,6.0264788552292625,-13.064325668851865,5.01331808425066,3.3897919328466033,2.474691323933985,-8.228738086446992,-17.646056018207506,-6.2021760569127435,-14.491892773860943,3.1855041340936214,-6.2432209972366355,-16.116707561561466,-26.288119015378296,-13.023791786049285,-25.07674949650781,-8.051007584601205,-18.077643753102524,5.864483256780588,0.9151006089126184
96,2025-05-06,-12.973343605280544,-10.473146652440006,-1.5401164680549304,-21.417444248863227,4.702292215778236,4.183339343822229,4.686806305887084,5.237850545154841,-19.08108891371501,5.988139510357466,-13.264069478828619,4.897045756472741,3.3811373113614187,2.4681821776291724,-8.271051389502308,-17.67563582105878,-6.289807308617777,-14.656485996262234,3.146689837832154,-6.2269227739420145,-16.179593703708385,-26.65529479401807,-13.092949403357544,-25.069228424072477,-8.367023722355878,-18.16111523530136,5.8493194889905915,0.9129551337322463
97,2025-05-07,-12.978957946047501,-10.47256870568242,-1.5472878542636417,-21.432396858026213,4.700526937637599,4.184273562100868,4.68189466475592,5.228773589471757,-19.086287465444343,5.98587437213879,-13.26602883698572,4.896664536607957,3.3714667858120553,2.4607871927228597,-8.278431008409903,-17.6794848836851,-6.288295143581552,-14.656842267783288,3.1346068104922784,-6.229182519019562,-16.203623268554455,-26.66117044749797,-13.100413093305553,-25.07216183758313,-8.369364300377764,-18.162693373593676,5.832253978534915,0.9106795930891955
98,2025-05-08,-12.985399151737457,-10.471724255977069,-1.5550477566681244,-21.449411901306465,4.698644085610594,4.185457636864237,4.676612941415737,5.218641974206576,-19.091285053316614,5.984550097077508,-13.267820279234972,4.896013053548929,3.360676892630001,2.4523984548746807,-8.286755066126863,-17.68404323734805,-6.286266619112832,-14.657181892841306,3.1215651847476122,-6.231660698083862,-16.23076992709989,-26.668053875513042,-13.106734956239105,-25.075835150394123,-8.371807225686043,-18.163833332783902,5.8130753475046815,0.9082784377553201
99,2025-05-09,-12.992754774481652,-10.470581978927434,-1.5634475454803243,-21.468713674538215,4.696631228844063,4.1869194198120985,4.670927798966288,5.207325264956928,-19.096765476623172,5.983125515428536,-13.269416985836756,4.895058653625735,3.348652347001081,2.4428920334152813,-8.296123545637588,-17.689386003325716,-6.283662559115336,-14.657501398739534,3.1074802534859636,-6.234375344446612,-16.261388409581286,-26.676038939495143,-13.113639961194636,-25.07989099205171,-8.37435833221102,-18.16447563946249,5.791544380416362,0.9057603135857999
100,2025-05-10,-13.000439904358966,-10.469107174924597,-1.57170872458301,-21.48808523777604,4.694995627652112,4.188689625882691,4.665399264764775,5.197536624227288,-19.102773569296936,5.981591274263608,-13.270789211268552,4.893764969250071,3.34268890926544,2.440044198282698,-8.305444276706854,-17.69543553201108,-6.280417549041906,-14.657796800807287,3.0936905401817656,-6.237107989347785,-16.29054861354875,-26.68562186200333,-13.121182295033329,-25.084364843560543,-8.37702424201848,-18.16455418051862,5.782733107548138,0.902644710982742
101,2025-05-11,-12.879090987660607,-10.467261299061049,-1.4484834638702502,-21.509943096128872,4.828265434670242,4.190802203768471,4.757801983051891,5.186657646676206,-18.750173592184368,6.462721440053792,-13.27190388080448,4.892091352186164,3.336221850788118,2.4369538751095496,-8.050825552990364,-17.70735642233085,-6.276459095292577,-14.65806350282952,3.309318519181641,-6.206285446922141,-16.323285449452666,-26.696600742805078,-12.287452152130577,-25.21289503223816,-8.379812528618316,-18.163995232990644,5.7731757258976675,0.8992679756785682
102,2025-05-12,-12.51326457041024,-9.346835978840868,-0.5204007929771863,-21.527829247955125,4.751184359978563,4.694327183545998,5.182613863461031,4.910615656380125,-17.887853723659486,6.3090737522867135,-11.062784884135269,5.422566681729034,5.986201096238481,3.5645426745358444,-7.762080210431677,-17.264448930388802,-4.65250879529487,-14.041163162386866,4.662213070483844,-5.703014656438217,-16.617213591575002,-26.43844490433525,-11.578779971372771,-24.1969274759462,-5.640218202406235,-16.485351565864303,9.550743770774325,2.4216584217026362
103,2025-05-13,-12.505633649881084,-9.117973906526768,-0.45768248732391986,-22.088155312296486,4.653011798412217,4.486450155207131,5.055903988729921,4.955011505165111,-16.15698354514937,7.585787482318517,-11.059007091018065,5.421150231148246,5.985370621039358,3.5663083070724606,-7.852621851468867,-17.1586454482933,-4.631523751319636,-13.604424061733898,4.598221501406001,-5.513586476053841,-17.133143807131376,-27.043166817461596,-8.571196062830852,-23.74277102746789,-5.637856859869819,-16.480157322166313,9.55167892811182,2.4190623139668976
