end_date,dem,rep,net,dem_std,rep_std,net_std,dem_lower_ci,dem_upper_ci,rep_lower_ci,rep_upper_ci,net_lower_ci,net_upper_ci
2019-07-24,46.68968444370069,40.80263511252967,-5.887049331171021,0.8462956808933089,1.303661722219429,1.4557825334852534,45.03094490914981,48.348423978251574,38.24745813697959,43.357812088079754,-8.740383096802118,-3.0337155655399237
2019-07-25,46.68251233796979,40.85388234236277,-5.828629995607014,0.8206104632880817,1.2847200793386404,1.4331770460150934,45.07411582992515,48.29090884601443,38.33583098685904,43.37193369786651,-8.637657005796598,-3.019602985417431
2019-07-26,46.73986404604672,40.837689270951984,-5.902174775094738,0.8192428710016924,1.2507169183221158,1.4125469932741803,45.1341480188834,48.34558007321004,38.38628411104064,43.28909443086333,-8.670766881912131,-3.1335826682773447
2019-07-27,46.400999730309536,40.82889370761378,-5.572106022695761,1.1075999839214659,1.0883280121906058,1.437162498703011,44.230103761823464,48.57189569879561,38.695770803720194,42.962016611507366,-8.388944520153661,-2.7552675252378593
2019-07-28,46.805203822951434,40.81878843357546,-5.986415389375973,1.4560579163272733,1.0857033117449857,1.5970918270418308,43.95133030694998,49.65907733895289,38.69080994255529,42.946766924595636,-9.116715370377962,-2.856115408373985
2019-07-29,46.79227448342143,40.80991241097644,-5.982362072444989,1.4246011974603192,1.0609329859630923,1.5588277730240743,44.0000561363992,49.58449283044366,38.730483758488774,42.8893410634641,-9.037664507572174,-2.9270596373178033
2019-07-30,46.926603138997535,40.66631162904765,-6.260291509949886,1.426203733580868,1.0455819650550189,1.6954706072985317,44.131243821179034,49.72196245681604,38.61697097753981,42.71565228055549,-9.5834139002550085,-2.9371691196447642
2019-07-31,46.90885978509388,40.6640762461139,-6.244783538979986,1.3974864664887228,1.0217803777430616,1.6584885912763936,44.16978631077598,49.64793325941178,38.6613867057375,42.6667657864903,-9.495421177881717,-2.9941459000782547
2019-08-01,46.94602591238065,40.607234177792506,-6.338791734588139,1.3717920920699578,1.0253475095928355,1.660789209766603,44.25731341192353,49.63473841283776,38.59755305899055,42.61691529659446,-9.593938585730681,-3.083644883445597
2019-08-02,46.98108918720389,40.55282723527209,-6.428261951931802,1.345056239763223,1.0253155156610412,1.6573178103673256,44.34477895726798,49.61739941713981,38.54320882457645,42.56244564596773,-9.67660486025176,-3.179919043611844
2019-08-03,47.01419204589481,40.50075363724503,-6.513438408649781,1.3174386339425752,1.022140034959057,1.6488607658147612,44.43201232336736,49.59637176842226,38.49735916872528,42.504148105764784,-9.745205509646713,-3.2816713076528496
2019-08-04,46.985596001334685,40.510789988624424,-6.47480601271026,1.2896546517123073,0.9951673940536412,1.6109176838611148,44.45787288397856,49.51331911869081,38.560261896279286,42.46131808096956,-9.632204673078045,-3.3174073523424745
2019-08-05,46.9583060892378,40.519962815860154,-6.4383432733776464,1.26136080007959,0.9683749932063861,1.5726150791822768,44.48603892108181,49.430573257393796,38.62194782917564,42.41797780254467,-9.520668828574909,-3.356017718180384
2019-08-06,47.08099100273711,40.523519586529254,-6.557471416207849,1.2653174271763634,0.8829869900745808,1.5251387297676982,44.600968845471435,49.56101316000278,38.792865085983074,42.254174087075434,-9.546743326552537,-3.5681995058631606
