end_date,avg_haley_stevens_dem,avg_mallory_ann_mc_morrow_dem,avg_abdul_el_sayed_dem,sd_haley_stevens_dem,sd_mallory_ann_mc_morrow_dem,sd_abdul_el_sayed_dem,upper_ci_haley_stevens_dem,upper_ci_mallory_ann_mc_morrow_dem,upper_ci_abdul_el_sayed_dem,lower_ci_haley_stevens_dem,lower_ci_mallory_ann_mc_morrow_dem,lower_ci_abdul_el_sayed_dem
2025-09-02,24.354058170678314,11.52697897133548,21.543955035172342,0.9519459881144475,2.151407785871262,1.6606355584158363,26.21987230738263,15.743738231643153,24.79880072966738,22.488244033974,7.3102197110278055,18.289109340677303
2025-09-03,24.354058170678314,11.52697897133548,21.543955035172342,0.9519459881144474,2.151407785871262,1.6606355584158363,26.21987230738263,15.743738231643153,24.79880072966738,22.488244033974,7.3102197110278055,18.289109340677303
2025-09-04,24.354058170678314,11.52697897133548,21.543955035172342,0.9519459881144465,2.151407785871262,1.6606355584158363,26.21987230738263,15.743738231643153,24.79880072966738,22.488244033974,7.3102197110278055,18.289109340677303
2025-09-05,24.354058170678318,11.526978971335481,21.543955035172342,0.9519459881144471,2.151407785871263,1.6606355584158374,26.219872307382634,15.743738231643157,24.798800729667384,22.488244033974002,7.3102197110278055,18.2891093406773
2025-09-06,24.354058170678314,11.526978971335481,21.543955035172342,0.951945988114447,2.151407785871263,1.660635558415837,26.21987230738263,15.743738231643157,24.798800729667384,22.488244033974,7.3102197110278055,18.2891093406773
2025-09-07,24.354058170678314,11.526978971335481,21.543955035172342,0.9519459881144473,2.151407785871264,1.6606355584158379,26.21987230738263,15.743738231643158,24.798800729667384,22.488244033974,7.310219711027804,18.2891093406773
2025-09-08,24.354058170678314,11.52697897133548,21.543955035172342,0.9519459881144475,2.151407785871262,1.6606355584158363,26.21987230738263,15.743738231643153,24.79880072966738,22.488244033974,7.3102197110278055,18.289109340677303
2025-09-09,24.35405817067831,11.526978971335478,21.54395503517234,0.9519459881144465,2.151407785871262,1.6606355584158363,26.219872307382627,15.743738231643151,24.798800729667377,22.488244033973995,7.310219711027804,18.2891093406773
2025-09-10,24.354058170678314,11.526978971335481,21.543955035172342,0.9519459881144469,2.151407785871263,1.660635558415837,26.21987230738263,15.743738231643157,24.798800729667384,22.488244033974,7.3102197110278055,18.2891093406773
2025-09-11,24.354058170678314,11.526978971335481,21.543955035172342,0.9519459881144471,2.151407785871263,1.660635558415837,26.21987230738263,15.743738231643157,24.798800729667384,22.488244033974,7.3102197110278055,18.2891093406773
2025-09-12,24.354058170678314,11.52697897133548,21.54395503517234,0.9519459881144473,2.151407785871264,1.6606355584158377,26.21987230738263,15.743738231643157,24.79880072966738,22.488244033974,7.310219711027802,18.289109340677296
2025-09-13,24.354058170678314,11.52697897133548,21.543955035172342,0.9519459881144474,2.151407785871262,1.6606355584158363,26.21987230738263,15.743738231643153,24.79880072966738,22.488244033974,7.3102197110278055,18.289109340677303
2025-09-14,24.354058170678314,11.52697897133548,21.543955035172342,0.9519459881144465,2.151407785871262,1.6606355584158363,26.21987230738263,15.743738231643153,24.79880072966738,22.488244033974,7.3102197110278055,18.289109340677303
2025-09-15,24.35405817067831,11.52697897133548,21.54395503517234,0.9519459881144469,2.151407785871263,1.660635558415837,26.219872307382627,15.743738231643155,24.798800729667377,22.488244033973995,7.310219711027804,18.2891093406773
