pollster,sponsors,sponsor_candidate,state,start_date,end_date,sample_size,population,candidate_name,pct,party,url,mode,tracking,partisan,internal,hypothetical
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Xavier Becerra,2,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Toni G. Atkins,1,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Stephen J. Cloobeck,0,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Steve Garvey,18,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Brian Dahle,9,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Chad Bianco,6,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Antonio Ramón Villaraigosa,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Lanhee Chen,10,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Betty T. Yee,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,John Cox,21,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Rick Caruso,8,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Laphonza Romanique Butler,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Xavier Becerra,4,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Toni G. Atkins,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Rob Bonta,7,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Eleni Kounalakis,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Kamala Harris,23,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Katie Porter,16,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Tony K. Thurmond,1,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Stephen J. Cloobeck,0,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Antonio Ramón Villaraigosa,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Eleni Kounalakis,5,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Xavier Becerra,5,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Stephen J. Cloobeck,0,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
